 Configuration with minimum energy:           61
 Configuration with maximum energy:            1

Temperature=      0.0000
         m  omega(m)   Erel(m)/eV       p(m)        p(m)/omega(m)
        47      1536  0.604776E-02      0.0437    0.2844E-04
        48      1536  0.680976E-02      0.0424    0.2761E-04
        49       192  0.906750E-02      0.0049    0.2530E-04
        50       192  0.907124E-02      0.0049    0.2530E-04
        51       384  0.747634E-02      0.0103    0.2691E-04
        52       768  0.529524E-02      0.0225    0.2928E-04
        53       768  0.529150E-02      0.0225    0.2928E-04
        54       768  0.605408E-02      0.0218    0.2843E-04
        55       768  0.605941E-02      0.0218    0.2843E-04
        56        96  0.588354E-02      0.0027    0.2862E-04
        57       768  0.370200E-02      0.0239    0.3114E-04
        58       768  0.446093E-02      0.0232    0.3024E-04
        59       768  0.369858E-02      0.0239    0.3115E-04
        60       768  0.446599E-02      0.0232    0.3023E-04
        61        64  0.000000E+00      0.0023    0.3594E-04
        62       384  0.752180E-03      0.0134    0.3491E-04
        63       768  0.151542E-02      0.0260    0.3389E-04
        64       256  0.228356E-02      0.0084    0.3290E-04
        65       192  0.151633E-02      0.0065    0.3389E-04
        66       768  0.228149E-02      0.0253    0.3290E-04
        67       256  0.227520E-02      0.0084    0.3291E-04
        68       768  0.304311E-02      0.0245    0.3195E-04
        69       192  0.304866E-02      0.0061    0.3194E-04
        70       384  0.380529E-02      0.0119    0.3102E-04
        71        64  0.456215E-02      0.0019    0.3012E-04


Temperature=   1000.0000
         m  omega(m)   Erel(m)/eV       p(m)        p(m)/omega(m)
         1        24  0.245283E-01      0.0005    0.2263E-04
         2        32  0.241403E-01      0.0007    0.2273E-04
         3        96  0.224795E-01      0.0022    0.2318E-04
         4        96  0.220658E-01      0.0022    0.2329E-04
         5       384  0.122477E-01      0.0100    0.2610E-04
         6       384  0.145059E-01      0.0098    0.2542E-04
         7       768  0.130299E-01      0.0199    0.2586E-04
         8       768  0.137793E-01      0.0197    0.2564E-04
         9        24  0.203849E-01      0.0006    0.2375E-04
        10       768  0.109521E-01      0.0203    0.2649E-04
        11       768  0.117026E-01      0.0202    0.2626E-04
        12       384  0.109692E-01      0.0102    0.2649E-04
        13       384  0.117213E-01      0.0101    0.2626E-04
        14        96  0.843391E-02      0.0026    0.2728E-04
        15        96  0.846489E-02      0.0026    0.2727E-04
        16       192  0.799269E-02      0.0053    0.2742E-04
        17       384  0.100107E-01      0.0103    0.2678E-04
        18       384  0.950960E-02      0.0103    0.2694E-04
        19       384  0.951898E-02      0.0103    0.2694E-04
        20       384  0.791947E-02      0.0105    0.2744E-04
        21       384  0.422587E-02      0.0110    0.2864E-04
        22       384  0.498114E-02      0.0109    0.2839E-04
        23       768  0.573631E-02      0.0216    0.2815E-04
        24       768  0.650126E-02      0.0214    0.2790E-04
        25      1536  0.500133E-02      0.0436    0.2839E-04
        26      1536  0.576603E-02      0.0432    0.2814E-04
        27        96  0.114432E-01      0.0025    0.2634E-04
        28        96  0.114684E-01      0.0025    0.2633E-04
        29       192  0.110066E-01      0.0051    0.2648E-04
        30       384  0.725504E-02      0.0106    0.2765E-04
        31       384  0.801030E-02      0.0105    0.2741E-04
        32      1536  0.651682E-02      0.0428    0.2789E-04
        33      1536  0.727961E-02      0.0425    0.2765E-04
        34        96  0.100303E-01      0.0026    0.2678E-04
        35       384  0.955702E-02      0.0103    0.2692E-04
        36       192  0.955467E-02      0.0052    0.2693E-04
        37       192  0.796590E-02      0.0053    0.2743E-04
        38         8  0.229242E-01      0.0002    0.2306E-04
        39       384  0.121538E-01      0.0100    0.2613E-04
        40       384  0.129069E-01      0.0099    0.2590E-04
        41        48  0.754423E-02      0.0013    0.2756E-04
        42       384  0.905994E-02      0.0104    0.2708E-04
        43       192  0.746717E-02      0.0053    0.2759E-04
        44      1536  0.452981E-02      0.0438    0.2854E-04
        45      1536  0.529372E-02      0.0435    0.2829E-04
        46        48  0.105569E-01      0.0013    0.2661E-04
        47      1536  0.604776E-02      0.0431    0.2804E-04
        48      1536  0.680976E-02      0.0427    0.2780E-04
        49       192  0.906750E-02      0.0052    0.2708E-04
        50       192  0.907124E-02      0.0052    0.2708E-04
        51       384  0.747634E-02      0.0106    0.2758E-04
        52       768  0.529524E-02      0.0217    0.2829E-04
        53       768  0.529150E-02      0.0217    0.2829E-04
        54       768  0.605408E-02      0.0215    0.2804E-04
        55       768  0.605941E-02      0.0215    0.2804E-04
        56        96  0.588354E-02      0.0027    0.2810E-04
        57       768  0.370200E-02      0.0221    0.2882E-04
        58       768  0.446093E-02      0.0219    0.2857E-04
        59       768  0.369858E-02      0.0221    0.2882E-04
        60       768  0.446599E-02      0.0219    0.2856E-04
        61        64  0.000000E+00      0.0019    0.3008E-04
        62       384  0.752180E-03      0.0115    0.2982E-04
        63       768  0.151542E-02      0.0227    0.2956E-04
        64       256  0.228356E-02      0.0075    0.2930E-04
        65       192  0.151633E-02      0.0057    0.2956E-04
        66       768  0.228149E-02      0.0225    0.2930E-04
        67       256  0.227520E-02      0.0075    0.2930E-04
        68       768  0.304311E-02      0.0223    0.2904E-04
        69       192  0.304866E-02      0.0056    0.2904E-04
        70       384  0.380529E-02      0.0111    0.2878E-04
        71        64  0.456215E-02      0.0018    0.2853E-04


 Infinite Temperature Limit
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1        24  0.245283E-01      0.0007    0.2781E-04
         2        32  0.241403E-01      0.0009    0.2781E-04
         3        96  0.224795E-01      0.0027    0.2781E-04
         4        96  0.220658E-01      0.0027    0.2781E-04
         5       384  0.122477E-01      0.0107    0.2781E-04
         6       384  0.145059E-01      0.0107    0.2781E-04
         7       768  0.130299E-01      0.0214    0.2781E-04
         8       768  0.137793E-01      0.0214    0.2781E-04
         9        24  0.203849E-01      0.0007    0.2781E-04
        10       768  0.109521E-01      0.0214    0.2781E-04
        11       768  0.117026E-01      0.0214    0.2781E-04
        12       384  0.109692E-01      0.0107    0.2781E-04
        13       384  0.117213E-01      0.0107    0.2781E-04
        14        96  0.843391E-02      0.0027    0.2781E-04
        15        96  0.846489E-02      0.0027    0.2781E-04
        16       192  0.799269E-02      0.0053    0.2781E-04
        17       384  0.100107E-01      0.0107    0.2781E-04
        18       384  0.950960E-02      0.0107    0.2781E-04
        19       384  0.951898E-02      0.0107    0.2781E-04
        20       384  0.791947E-02      0.0107    0.2781E-04
        21       384  0.422587E-02      0.0107    0.2781E-04
        22       384  0.498114E-02      0.0107    0.2781E-04
        23       768  0.573631E-02      0.0214    0.2781E-04
        24       768  0.650126E-02      0.0214    0.2781E-04
        25      1536  0.500133E-02      0.0427    0.2781E-04
        26      1536  0.576603E-02      0.0427    0.2781E-04
        27        96  0.114432E-01      0.0027    0.2781E-04
        28        96  0.114684E-01      0.0027    0.2781E-04
        29       192  0.110066E-01      0.0053    0.2781E-04
        30       384  0.725504E-02      0.0107    0.2781E-04
        31       384  0.801030E-02      0.0107    0.2781E-04
        32      1536  0.651682E-02      0.0427    0.2781E-04
        33      1536  0.727961E-02      0.0427    0.2781E-04
        34        96  0.100303E-01      0.0027    0.2781E-04
        35       384  0.955702E-02      0.0107    0.2781E-04
        36       192  0.955467E-02      0.0053    0.2781E-04
        37       192  0.796590E-02      0.0053    0.2781E-04
        38         8  0.229242E-01      0.0002    0.2781E-04
        39       384  0.121538E-01      0.0107    0.2781E-04
        40       384  0.129069E-01      0.0107    0.2781E-04
        41        48  0.754423E-02      0.0013    0.2781E-04
        42       384  0.905994E-02      0.0107    0.2781E-04
        43       192  0.746717E-02      0.0053    0.2781E-04
        44      1536  0.452981E-02      0.0427    0.2781E-04
        45      1536  0.529372E-02      0.0427    0.2781E-04
        46        48  0.105569E-01      0.0013    0.2781E-04
