        T             E               F          S             
       0.0      -1137.1240      -1137.1240  0.000000E+00
     300.0      -1137.1204      -1137.1712  0.169412E-03
    1000.0      -1137.0259      -1137.3572  0.331332E-03
  Infinite      -1136.9651         -        0.366107E-03
