 Configuration with minimum energy:            1
 Configuration with maximum energy:            5

Temperature=      0.0000
         m  omega(m)   Erel(m)/eV       p(m)        p(m)/omega(m)
         1         6  0.000000E+00      1.0000    0.1667E+00
         2         8  0.146630E+00      0.0000    0.0000E+00
         3        24  0.189401E+00      0.0000    0.0000E+00
         4        24  0.166860E+00      0.0000    0.0000E+00
         5         6  0.209508E+00      0.0000    0.0000E+00
         6         2  0.722328E-01      0.0000    0.0000E+00


Temperature=    300.0000
         m  omega(m)   Erel(m)/eV       p(m)        p(m)/omega(m)
         1         6  0.000000E+00      0.9669    0.1612E+00
         2         8  0.146630E+00      0.0044    0.5546E-03
         3        24  0.189401E+00      0.0025    0.1060E-03
         4        24  0.166860E+00      0.0061    0.2536E-03
         5         6  0.209508E+00      0.0003    0.4871E-04
         6         2  0.722328E-01      0.0197    0.9858E-02


Temperature=   1000.0000
         m  omega(m)   Erel(m)/eV       p(m)        p(m)/omega(m)
         1         6  0.000000E+00      0.4006    0.6676E-01
         2         8  0.146630E+00      0.0974    0.1218E-01
         3        24  0.189401E+00      0.1779    0.7413E-02
         4        24  0.166860E+00      0.2311    0.9630E-02
         5         6  0.209508E+00      0.0352    0.5870E-02
         6         2  0.722328E-01      0.0577    0.2887E-01


 Infinite Temperature Limit
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1         6  0.000000E+00      0.0857    0.1429E-01
         2         8  0.146630E+00      0.1143    0.1429E-01
         3        24  0.189401E+00      0.3429    0.1429E-01
         4        24  0.166860E+00      0.3429    0.1429E-01
         5         6  0.209508E+00      0.0857    0.1429E-01
         6         2  0.722328E-01      0.0286    0.1429E-01
