      Step     Time          Energy          fmax
BFGS:    0 15:57:04     -373.127112        0.190155
BFGS:    1 15:57:05     -373.134343        0.187587
BFGS:    2 15:57:05     -373.152385        0.179007
BFGS:    3 15:57:06     -373.154832        0.176977
BFGS:    4 15:57:07     -373.173972        0.156678
BFGS:    5 15:57:08     -373.182984        0.144562
BFGS:    6 15:57:09     -373.192601        0.130381
BFGS:    7 15:57:10     -373.202963        0.157070
BFGS:    8 15:57:10     -373.220826        0.188879
BFGS:    9 15:57:11     -373.240971        0.173182
BFGS:   10 15:57:12     -373.256049        0.132034
BFGS:   11 15:57:13     -373.262907        0.093867
BFGS:   12 15:57:13     -373.265959        0.068171
BFGS:   13 15:57:14     -373.267561        0.039452
BFGS:   14 15:57:15     -373.268211        0.027013
BFGS:   15 15:57:16     -373.268434        0.019324
BFGS:   16 15:57:16     -373.268568        0.016046
BFGS:   17 15:57:17     -373.268684        0.012473
BFGS:   18 15:57:18     -373.268742        0.008986
