      Step     Time          Energy          fmax
BFGS:    0 15:58:20     -373.083914        0.185391
BFGS:    1 15:58:21     -373.092322        0.183574
BFGS:    2 15:58:22     -373.109917        0.175099
BFGS:    3 15:58:23     -373.111863        0.173255
BFGS:    4 15:58:23     -373.132944        0.147461
BFGS:    5 15:58:24     -373.144514        0.129496
BFGS:    6 15:58:25     -373.156687        0.160109
BFGS:    7 15:58:26     -373.168136        0.179998
BFGS:    8 15:58:27     -373.185454        0.193386
BFGS:    9 15:58:28     -373.202870        0.150898
BFGS:   10 15:58:28     -373.213817        0.093131
BFGS:   11 15:58:29     -373.217737        0.061773
BFGS:   12 15:58:30     -373.219462        0.041994
BFGS:   13 15:58:31     -373.220760        0.033549
BFGS:   14 15:58:31     -373.221548        0.026704
BFGS:   15 15:58:32     -373.221943        0.029917
BFGS:   16 15:58:33     -373.222197        0.024154
BFGS:   17 15:58:34     -373.222394        0.013654
BFGS:   18 15:58:34     -373.222497        0.008346
