      Step     Time          Energy          fmax
BFGS:    0 16:03:31     -373.013371        0.184527
BFGS:    1 16:03:32     -373.023775        0.182542
BFGS:    2 16:03:33     -373.042317        0.174735
BFGS:    3 16:03:33     -373.043888        0.173218
BFGS:    4 16:03:34     -373.072825        0.136127
BFGS:    5 16:03:35     -373.089674        0.133649
BFGS:    6 16:03:36     -373.106497        0.136534
BFGS:    7 16:03:36     -373.118693        0.170752
BFGS:    8 16:03:37     -373.132419        0.171481
BFGS:    9 16:03:38     -373.142519        0.127444
BFGS:   10 16:03:38     -373.147309        0.068807
BFGS:   11 16:03:39     -373.148922        0.039781
BFGS:   12 16:03:40     -373.149769        0.025038
BFGS:   13 16:03:41     -373.150306        0.018262
BFGS:   14 16:03:41     -373.150540        0.015310
BFGS:   15 16:03:42     -373.150650        0.011485
BFGS:   16 16:03:43     -373.150749        0.008566
