        T             E               F          S             
      20.0     -64060.8094     -64060.8130  0.179193E-03
     300.0     -64060.7425     -64060.9286  0.620473E-03
     600.0     -64060.7341     -64061.1194  0.642103E-03
     800.0     -64060.7326     -64061.2481  0.644328E-03
    1200.0     -64060.7312     -64061.5061  0.645788E-03
  Infinite     -64060.7286         -        0.646869E-03
