      Step     Time          Energy          fmax
BFGS:    0 16:02:54     -373.156551        0.190683
BFGS:    1 16:02:54     -373.163336        0.189113
BFGS:    2 16:02:55     -373.181481        0.180346
BFGS:    3 16:02:56     -373.184097        0.178195
BFGS:    4 16:02:57     -373.203536        0.157671
BFGS:    5 16:02:57     -373.212120        0.146228
BFGS:    6 16:02:58     -373.221772        0.132169
BFGS:    7 16:02:59     -373.232777        0.154249
BFGS:    8 16:03:00     -373.251618        0.183987
BFGS:    9 16:03:00     -373.272059        0.232759
BFGS:   10 16:03:01     -373.286683        0.204128
BFGS:   11 16:03:02     -373.293319        0.133249
BFGS:   12 16:03:03     -373.296445        0.068229
BFGS:   13 16:03:03     -373.298117        0.047343
BFGS:   14 16:03:04     -373.298772        0.028147
BFGS:   15 16:03:05     -373.298993        0.018261
BFGS:   16 16:03:05     -373.299124        0.014825
BFGS:   17 16:03:06     -373.299224        0.011338
BFGS:   18 16:03:07     -373.299267        0.009049
