        T             E               F          S             
       0.0      -1131.4302      -1131.4302  0.000000E+00
     300.0      -1131.4293      -1131.5115  0.273805E-03
    1000.0      -1131.4291      -1131.7032  0.274102E-03
  Infinite      -1131.3551         -        0.287147E-03
