      Step     Time          Energy          fmax
BFGS:    0 16:05:46     -373.141541        0.188502
BFGS:    1 16:05:46     -373.149191        0.186798
BFGS:    2 16:05:47     -373.166458        0.178476
BFGS:    3 16:05:48     -373.168674        0.176510
BFGS:    4 16:05:49     -373.189898        0.152417
BFGS:    5 16:05:50     -373.200532        0.137232
BFGS:    6 16:05:50     -373.211460        0.165845
BFGS:    7 16:05:51     -373.221890        0.178759
BFGS:    8 16:05:52     -373.238464        0.148917
BFGS:    9 16:05:53     -373.256113        0.166087
BFGS:   10 16:05:54     -373.269262        0.150084
BFGS:   11 16:05:54     -373.275748        0.101921
BFGS:   12 16:05:55     -373.278932        0.055494
BFGS:   13 16:05:56     -373.280523        0.035568
BFGS:   14 16:05:57     -373.281084        0.022089
BFGS:   15 16:05:58     -373.281261        0.015546
BFGS:   16 16:05:59     -373.281378        0.011721
BFGS:   17 16:05:59     -373.281479        0.009770
