      Step     Time          Energy          fmax
BFGS:    0 14:14:54     -476.205872        0.340737
BFGS:    1 14:14:54     -476.224152        0.320835
BFGS:    2 14:14:55     -476.318604        0.108902
BFGS:    3 14:14:55     -476.321045        0.104664
BFGS:    4 14:14:55     -476.343384        0.058412
BFGS:    5 14:14:56     -476.345306        0.056236
BFGS:    6 14:14:56     -476.348450        0.068145
BFGS:    7 14:14:56     -476.351257        0.072044
BFGS:    8 14:14:56     -476.353577        0.056263
BFGS:    9 14:14:57     -476.354431        0.036828
BFGS:   10 14:14:57     -476.354950        0.036947
BFGS:   11 14:14:57     -476.355621        0.034578
BFGS:   12 14:14:57     -476.356628        0.026853
BFGS:   13 14:14:57     -476.357513        0.024503
BFGS:   14 14:14:57     -476.357971        0.024087
BFGS:   15 14:14:58     -476.358276        0.023684
BFGS:   16 14:14:58     -476.358521        0.024615
BFGS:   17 14:14:58     -476.359314        0.019200
BFGS:   18 14:14:58     -476.359863        0.019036
BFGS:   19 14:14:58     -476.360107        0.018852
BFGS:   20 14:14:59     -476.360291        0.018742
BFGS:   21 14:14:59     -476.360474        0.018637
BFGS:   22 14:14:59     -476.360718        0.018496
BFGS:   23 14:14:59     -476.361084        0.018364
BFGS:   24 14:14:59     -476.361359        0.018308
BFGS:   25 14:14:59     -476.361481        0.018308
BFGS:   26 14:15:00     -476.361633        0.018295
BFGS:   27 14:15:00     -476.361877        0.018208
BFGS:   28 14:15:00     -476.362183        0.017973
BFGS:   29 14:15:00     -476.362579        0.018893
BFGS:   30 14:15:00     -476.362793        0.020866
BFGS:   31 14:15:01     -476.362946        0.017805
BFGS:   32 14:15:01     -476.363220        0.016842
BFGS:   33 14:15:01     -476.363617        0.017111
BFGS:   34 14:15:01     -476.363953        0.019888
BFGS:   35 14:15:01     -476.364349        0.030213
BFGS:   36 14:15:02     -476.364960        0.029253
BFGS:   37 14:15:02     -476.364960        0.021596
BFGS:   38 14:15:02     -476.365692        0.019143
BFGS:   39 14:15:02     -476.366425        0.022582
BFGS:   40 14:15:02     -476.367188        0.037597
BFGS:   41 14:15:03     -476.367737        0.042407
BFGS:   42 14:15:03     -476.368073        0.035311
BFGS:   43 14:15:03     -476.368561        0.021211
BFGS:   44 14:15:03     -476.369415        0.021953
BFGS:   45 14:15:03     -476.370544        0.036628
BFGS:   46 14:15:04     -476.371490        0.052374
BFGS:   47 14:15:04     -476.372009        0.046996
BFGS:   48 14:15:04     -476.372528        0.031768
BFGS:   49 14:15:04     -476.373260        0.022890
BFGS:   50 14:15:04     -476.374420        0.032704
BFGS:   51 14:15:05     -476.375580        0.057476
BFGS:   52 14:15:05     -476.376251        0.056192
BFGS:   53 14:15:05     -476.376007        0.041787
BFGS:   54 14:15:05     -476.377045        0.028367
BFGS:   55 14:15:05     -476.377319        0.034450
BFGS:   56 14:15:06     -476.378418        0.033163
BFGS:   57 14:15:06     -476.378510        0.031176
BFGS:   58 14:15:06     -476.379028        0.020277
BFGS:   59 14:15:06     -476.379333        0.014963
BFGS:   60 14:15:06     -476.379791        0.017804
BFGS:   61 14:15:07     -476.380402        0.032253
BFGS:   62 14:15:07     -476.380859        0.031224
BFGS:   63 14:15:07     -476.381073        0.018934
BFGS:   64 14:15:07     -476.381226        0.015231
BFGS:   65 14:15:07     -476.381500        0.012935
BFGS:   66 14:15:08     -476.381866        0.022548
BFGS:   67 14:15:08     -476.382019        0.022881
BFGS:   68 14:15:08     -476.382385        0.012070
BFGS:   69 14:15:08     -476.382141        0.010974
BFGS:   70 14:15:08     -476.382416        0.010332
BFGS:   71 14:15:09     -476.382751        0.016706
BFGS:   72 14:15:09     -476.382935        0.018201
BFGS:   73 14:15:09     -476.383057        0.009888
