      Step     Time          Energy          fmax
BFGS:    0 14:14:15     -476.383636        0.320105
BFGS:    1 14:14:15     -476.396179        0.300106
BFGS:    2 14:14:16     -476.466522        0.161917
BFGS:    3 14:14:17     -476.468689        0.158566
BFGS:    4 14:14:18     -476.489136        0.075431
BFGS:    5 14:14:18     -476.490387        0.060838
BFGS:    6 14:14:18     -476.491821        0.062621
BFGS:    7 14:14:18     -476.494568        0.067284
BFGS:    8 14:14:18     -476.496643        0.053753
BFGS:    9 14:14:19     -476.497589        0.033245
BFGS:   10 14:14:19     -476.498077        0.039231
BFGS:   11 14:14:19     -476.498291        0.039715
BFGS:   12 14:14:19     -476.499481        0.029933
BFGS:   13 14:14:19     -476.500366        0.027176
BFGS:   14 14:14:19     -476.500854        0.024152
BFGS:   15 14:14:20     -476.501129        0.021465
BFGS:   16 14:14:20     -476.501404        0.021329
BFGS:   17 14:14:20     -476.501801        0.018326
BFGS:   18 14:14:20     -476.502197        0.018251
BFGS:   19 14:14:20     -476.502472        0.018111
BFGS:   20 14:14:21     -476.502258        0.018001
BFGS:   21 14:14:21     -476.502563        0.017902
BFGS:   22 14:14:21     -476.502991        0.017749
BFGS:   23 14:14:21     -476.503296        0.017564
BFGS:   24 14:14:21     -476.503601        0.017432
BFGS:   25 14:14:22     -476.503754        0.017398
BFGS:   26 14:14:22     -476.503815        0.017390
BFGS:   27 14:14:22     -476.503998        0.017802
BFGS:   28 14:14:22     -476.503967        0.020413
BFGS:   29 14:14:22     -476.504456        0.024104
BFGS:   30 14:14:23     -476.505127        0.030088
BFGS:   31 14:14:23     -476.505341        0.028370
BFGS:   32 14:14:23     -476.505585        0.022332
BFGS:   33 14:14:23     -476.506042        0.018588
BFGS:   34 14:14:23     -476.506287        0.021249
BFGS:   35 14:14:24     -476.507263        0.027274
BFGS:   36 14:14:24     -476.507690        0.037342
BFGS:   37 14:14:24     -476.507996        0.036973
BFGS:   38 14:14:24     -476.507782        0.029944
BFGS:   39 14:14:24     -476.509094        0.021909
BFGS:   40 14:14:25     -476.509979        0.029036
BFGS:   41 14:14:25     -476.510681        0.033614
BFGS:   42 14:14:25     -476.510895        0.035111
BFGS:   43 14:14:25     -476.511505        0.029595
BFGS:   44 14:14:25     -476.512177        0.016842
BFGS:   45 14:14:26     -476.513000        0.027968
BFGS:   46 14:14:26     -476.514221        0.042648
BFGS:   47 14:14:26     -476.514252        0.039887
BFGS:   48 14:14:26     -476.515259        0.028785
BFGS:   49 14:14:26     -476.515778        0.025171
BFGS:   50 14:14:27     -476.516815        0.026088
BFGS:   51 14:14:27     -476.518005        0.038324
BFGS:   52 14:14:27     -476.518890        0.042965
BFGS:   53 14:14:27     -476.519348        0.031957
BFGS:   54 14:14:27     -476.519653        0.018341
BFGS:   55 14:14:28     -476.520142        0.026837
BFGS:   56 14:14:28     -476.520844        0.032515
BFGS:   57 14:14:28     -476.521210        0.030079
BFGS:   58 14:14:28     -476.521545        0.026413
BFGS:   59 14:14:28     -476.522186        0.019138
BFGS:   60 14:14:29     -476.522461        0.016911
BFGS:   61 14:14:29     -476.522949        0.022176
BFGS:   62 14:14:29     -476.523499        0.028265
BFGS:   63 14:14:29     -476.523773        0.020391
BFGS:   64 14:14:29     -476.523895        0.011560
BFGS:   65 14:14:30     -476.523987        0.011254
BFGS:   66 14:14:30     -476.524231        0.010394
BFGS:   67 14:14:30     -476.524292        0.017491
BFGS:   68 14:14:30     -476.524658        0.014425
BFGS:   69 14:14:30     -476.524567        0.009672
