        T             E               F          S             
       0.0      -1128.6124      -1128.6124  0.000000E+00
     300.0      -1128.6124      -1128.6662  0.179193E-03
    1000.0      -1128.6124      -1128.7916  0.179193E-03
  Infinite      -1128.6124         -        0.179193E-03
