      Step     Time          Energy          fmax
BFGS:    0 15:57:44     -373.068703        0.182855
BFGS:    1 15:57:45     -373.076849        0.181097
BFGS:    2 15:57:46     -373.094463        0.172814
BFGS:    3 15:57:46     -373.096475        0.170975
BFGS:    4 15:57:47     -373.115790        0.147921
BFGS:    5 15:57:48     -373.125408        0.133204
BFGS:    6 15:57:49     -373.135858        0.135052
BFGS:    7 15:57:49     -373.147085        0.160669
BFGS:    8 15:57:50     -373.166027        0.156725
BFGS:    9 15:57:51     -373.186064        0.120660
BFGS:   10 15:57:51     -373.198394        0.098483
BFGS:   11 15:57:52     -373.202178        0.061794
BFGS:   12 15:57:53     -373.203534        0.057637
BFGS:   13 15:57:54     -373.204727        0.048751
BFGS:   14 15:57:54     -373.205605        0.027729
BFGS:   15 15:57:55     -373.205985        0.018862
BFGS:   16 15:57:56     -373.206120        0.013746
BFGS:   17 15:57:57     -373.206193        0.008708
