        T             E               F          S             
       0.0       -373.3749       -373.3749  0.000000E+00
     300.0       -373.3283       -373.5105  0.607170E-03
    1000.0       -373.1992       -374.0554  0.856171E-03
  Infinite       -373.1043         -        0.903973E-03
