 Configuration with minimum energy:           61
 Configuration with maximum energy:           38

Temperature=      0.0000
         m  omega(m)   Erel(m)/eV       p(m)        p(m)/omega(m)
        52       768  0.233351E+00      0.0214    0.2781E-04
        53       768  0.271472E+00      0.0214    0.2781E-04
        54       768  0.341607E+00      0.0214    0.2781E-04
        55       768  0.316161E+00      0.0214    0.2781E-04
        56        96  0.413567E+00      0.0027    0.2781E-04
        57       768  0.281498E+00      0.0214    0.2781E-04
        58       768  0.387340E+00      0.0214    0.2781E-04
        59       768  0.318075E+00      0.0214    0.2781E-04
        60       768  0.365560E+00      0.0214    0.2781E-04
        61        64  0.000000E+00      0.0018    0.2781E-04
        62       384  0.990292E-01      0.0107    0.2781E-04
        63       768  0.183576E+00      0.0214    0.2781E-04
        64       256  0.229323E+00      0.0071    0.2781E-04
        65       192  0.222861E+00      0.0053    0.2781E-04
        66       768  0.270415E+00      0.0214    0.2781E-04
        67       256  0.277361E+00      0.0071    0.2781E-04
        68       768  0.339372E+00      0.0214    0.2781E-04
        69       192  0.318185E+00      0.0053    0.2781E-04
        70       384  0.409955E+00      0.0107    0.2781E-04
        71        64  0.500442E+00      0.0018    0.2781E-04
