        T             E               F          S             
       0.0      -1124.9204      -1124.9204  0.000000E+00
     300.0      -1124.9204      -1124.9204  0.000000E+00
    1000.0      -1124.9204      -1124.9204  0.000000E+00
  Infinite      -1124.9204         -        0.000000E+00
