      Step     Time          Energy          fmax
BFGS:    0 15:51:18     -373.124473        0.188740
BFGS:    1 15:51:18     -373.131684        0.187058
BFGS:    2 15:51:19     -373.148638        0.178815
BFGS:    3 15:51:20     -373.150846        0.176874
BFGS:    4 15:51:21     -373.171812        0.153529
BFGS:    5 15:51:21     -373.182756        0.138162
BFGS:    6 15:51:22     -373.193832        0.135452
BFGS:    7 15:51:23     -373.204470        0.163926
BFGS:    8 15:51:23     -373.222034        0.182356
BFGS:    9 15:51:24     -373.241322        0.187723
BFGS:   10 15:51:25     -373.254638        0.178616
BFGS:   11 15:51:26     -373.259627        0.125371
BFGS:   12 15:51:26     -373.261590        0.077489
BFGS:   13 15:51:27     -373.262900        0.037770
BFGS:   14 15:51:28     -373.263662        0.026517
BFGS:   15 15:51:29     -373.263997        0.019302
BFGS:   16 15:51:29     -373.264178        0.017273
BFGS:   17 15:51:30     -373.264307        0.013746
BFGS:   18 15:51:31     -373.264369        0.009327
