      Step     Time          Energy          fmax
BFGS:    0 14:21:04     -476.202271        0.429519
BFGS:    1 14:21:04     -476.221832        0.398971
BFGS:    2 14:21:05     -476.319489        0.229749
BFGS:    3 14:21:05     -476.322266        0.198107
BFGS:    4 14:21:06     -476.337616        0.116256
BFGS:    5 14:21:06     -476.343933        0.123533
BFGS:    6 14:21:06     -476.346802        0.094437
BFGS:    7 14:21:07     -476.348541        0.096023
BFGS:    8 14:21:07     -476.350586        0.076548
BFGS:    9 14:21:07     -476.353577        0.057293
BFGS:   10 14:21:07     -476.355591        0.064415
BFGS:   11 14:21:07     -476.356293        0.054918
BFGS:   12 14:21:07     -476.356873        0.055855
BFGS:   13 14:21:08     -476.357605        0.046903
BFGS:   14 14:21:08     -476.358887        0.036512
BFGS:   15 14:21:08     -476.359680        0.037334
BFGS:   16 14:21:08     -476.360107        0.031340
BFGS:   17 14:21:08     -476.360413        0.033136
BFGS:   18 14:21:08     -476.360962        0.032999
BFGS:   19 14:21:09     -476.361664        0.030672
BFGS:   20 14:21:09     -476.362183        0.029295
BFGS:   21 14:21:09     -476.362366        0.019276
BFGS:   22 14:21:09     -476.362579        0.018762
BFGS:   23 14:21:09     -476.362793        0.018583
BFGS:   24 14:21:09     -476.363159        0.024261
BFGS:   25 14:21:10     -476.363556        0.030998
BFGS:   26 14:21:10     -476.363739        0.025529
BFGS:   27 14:21:10     -476.363922        0.018357
BFGS:   28 14:21:10     -476.363464        0.018381
BFGS:   29 14:21:10     -476.364410        0.023006
BFGS:   30 14:21:10     -476.364807        0.031694
BFGS:   31 14:21:11     -476.365082        0.028945
BFGS:   32 14:21:11     -476.365112        0.030110
BFGS:   33 14:21:11     -476.365509        0.029095
BFGS:   34 14:21:11     -476.365906        0.022484
BFGS:   35 14:21:11     -476.366425        0.031386
BFGS:   36 14:21:12     -476.366943        0.033135
BFGS:   37 14:21:12     -476.367279        0.035110
BFGS:   38 14:21:12     -476.367493        0.035672
BFGS:   39 14:21:12     -476.367493        0.030418
BFGS:   40 14:21:12     -476.368347        0.028215
BFGS:   41 14:21:13     -476.368988        0.033353
BFGS:   42 14:21:13     -476.369080        0.023588
BFGS:   43 14:21:13     -476.369659        0.025895
BFGS:   44 14:21:13     -476.370026        0.023643
BFGS:   45 14:21:13     -476.370667        0.031474
BFGS:   46 14:21:14     -476.371613        0.044332
BFGS:   47 14:21:14     -476.372498        0.037476
BFGS:   48 14:21:14     -476.372986        0.030736
BFGS:   49 14:21:14     -476.373413        0.027921
BFGS:   50 14:21:14     -476.373688        0.039002
BFGS:   51 14:21:15     -476.374573        0.051070
BFGS:   52 14:21:15     -476.375854        0.043670
BFGS:   53 14:21:15     -476.376801        0.027070
BFGS:   54 14:21:15     -476.376953        0.026687
BFGS:   55 14:21:15     -476.377716        0.032575
BFGS:   56 14:21:16     -476.378296        0.046654
BFGS:   57 14:21:16     -476.379395        0.044902
BFGS:   58 14:21:16     -476.379944        0.027799
BFGS:   59 14:21:16     -476.380157        0.024463
BFGS:   60 14:21:16     -476.380829        0.022945
BFGS:   61 14:21:17     -476.381348        0.036969
BFGS:   62 14:21:17     -476.382050        0.043578
BFGS:   63 14:21:17     -476.383118        0.034007
BFGS:   64 14:21:17     -476.383667        0.024147
BFGS:   65 14:21:18     -476.383545        0.016137
BFGS:   66 14:21:18     -476.384155        0.021013
BFGS:   67 14:21:18     -476.384369        0.028967
BFGS:   68 14:21:18     -476.385040        0.025737
BFGS:   69 14:21:18     -476.385010        0.018967
BFGS:   70 14:21:19     -476.385193        0.013433
BFGS:   71 14:21:19     -476.385345        0.014126
BFGS:   72 14:21:19     -476.385803        0.019652
BFGS:   73 14:21:19     -476.385803        0.019359
BFGS:   74 14:21:19     -476.386230        0.015019
BFGS:   75 14:21:20     -476.386353        0.010202
BFGS:   76 14:21:20     -476.386414        0.009391
