      Step     Time          Energy          fmax
BFGS:    0 15:51:50     -373.092412        0.221751
BFGS:    1 15:51:51     -373.100807        0.184275
BFGS:    2 15:51:52     -373.118095        0.176682
BFGS:    3 15:51:52     -373.120181        0.174876
BFGS:    4 15:51:53     -373.143820        0.158370
BFGS:    5 15:51:54     -373.156982        0.162065
BFGS:    6 15:51:55     -373.169497        0.128816
BFGS:    7 15:51:56     -373.179831        0.154975
BFGS:    8 15:51:56     -373.195812        0.158810
BFGS:    9 15:51:57     -373.213387        0.185816
BFGS:   10 15:51:58     -373.226046        0.185683
BFGS:   11 15:51:59     -373.231118        0.129576
BFGS:   12 15:52:00     -373.233129        0.073524
BFGS:   13 15:52:01     -373.234311        0.039599
BFGS:   14 15:52:01     -373.234879        0.019550
BFGS:   15 15:52:02     -373.235070        0.014150
BFGS:   16 15:52:03     -373.235159        0.011295
BFGS:   17 15:52:04     -373.235230        0.009428
