      Step     Time          Energy          fmax
BFGS:    0 15:58:58     -373.118545        0.186681
BFGS:    1 15:58:59     -373.126431        0.184932
BFGS:    2 15:59:00     -373.143953        0.176781
BFGS:    3 15:59:00     -373.146100        0.174904
BFGS:    4 15:59:01     -373.166269        0.152242
BFGS:    5 15:59:02     -373.176669        0.137344
BFGS:    6 15:59:03     -373.187534        0.121764
BFGS:    7 15:59:03     -373.198194        0.142519
BFGS:    8 15:59:04     -373.215530        0.169896
BFGS:    9 15:59:05     -373.234308        0.152238
BFGS:   10 15:59:05     -373.247408        0.121709
BFGS:   11 15:59:06     -373.252697        0.084995
BFGS:   12 15:59:07     -373.255020        0.062176
BFGS:   13 15:59:08     -373.256526        0.035968
BFGS:   14 15:59:08     -373.257328        0.027632
BFGS:   15 15:59:09     -373.257690        0.023694
BFGS:   16 15:59:10     -373.257919        0.018194
BFGS:   17 15:59:11     -373.258098        0.013701
BFGS:   18 15:59:12     -373.258191        0.009260
