      Step     Time          Energy          fmax
BFGS:    0 15:59:17     -373.094462        0.182002
BFGS:    1 15:59:18     -373.103099        0.180211
BFGS:    2 15:59:19     -373.120962        0.171996
BFGS:    3 15:59:19     -373.122921        0.170221
BFGS:    4 15:59:20     -373.143626        0.145944
BFGS:    5 15:59:21     -373.154316        0.132221
BFGS:    6 15:59:22     -373.165618        0.130821
BFGS:    7 15:59:22     -373.176787        0.155479
BFGS:    8 15:59:23     -373.194543        0.167412
BFGS:    9 15:59:24     -373.212704        0.150447
BFGS:   10 15:59:25     -373.224121        0.115705
BFGS:   11 15:59:25     -373.228176        0.074418
BFGS:   12 15:59:26     -373.229956        0.054228
BFGS:   13 15:59:27     -373.231321        0.041246
BFGS:   14 15:59:28     -373.232142        0.028991
BFGS:   15 15:59:28     -373.232516        0.024078
BFGS:   16 15:59:29     -373.232727        0.019417
BFGS:   17 15:59:30     -373.232886        0.013066
BFGS:   18 15:59:31     -373.232968        0.009210
