      Step     Time          Energy          fmax
BFGS:    0 14:16:45     -476.206177        0.344270
BFGS:    1 14:16:45     -476.224487        0.324262
BFGS:    2 14:16:46     -476.318604        0.111050
BFGS:    3 14:16:46     -476.321106        0.106978
BFGS:    4 14:16:46     -476.344696        0.062382
BFGS:    5 14:16:47     -476.345856        0.059734
BFGS:    6 14:16:47     -476.349670        0.067721
BFGS:    7 14:16:47     -476.352264        0.067290
BFGS:    8 14:16:47     -476.353973        0.049240
BFGS:    9 14:16:48     -476.354523        0.033544
BFGS:   10 14:16:48     -476.355042        0.036474
BFGS:   11 14:16:48     -476.355804        0.030431
BFGS:   12 14:16:48     -476.356689        0.025537
BFGS:   13 14:16:48     -476.357361        0.019835
BFGS:   14 14:16:48     -476.357635        0.019816
BFGS:   15 14:16:49     -476.357849        0.022523
BFGS:   16 14:16:49     -476.358337        0.021848
BFGS:   17 14:16:49     -476.358856        0.018934
BFGS:   18 14:16:49     -476.359283        0.018746
BFGS:   19 14:16:49     -476.359497        0.018594
BFGS:   20 14:16:49     -476.359619        0.018496
BFGS:   21 14:16:50     -476.359497        0.018372
BFGS:   22 14:16:50     -476.360138        0.018213
BFGS:   23 14:16:50     -476.360474        0.018080
BFGS:   24 14:16:50     -476.360657        0.018039
BFGS:   25 14:16:50     -476.360809        0.018041
BFGS:   26 14:16:50     -476.360992        0.018024
BFGS:   27 14:16:51     -476.360901        0.017916
BFGS:   28 14:16:51     -476.361694        0.017643
BFGS:   29 14:16:51     -476.361938        0.017242
BFGS:   30 14:16:51     -476.362244        0.016917
BFGS:   31 14:16:52     -476.362427        0.016693
BFGS:   32 14:16:52     -476.362885        0.016417
BFGS:   33 14:16:52     -476.363403        0.019258
BFGS:   34 14:16:52     -476.364014        0.016949
BFGS:   35 14:16:52     -476.364502        0.019567
BFGS:   36 14:16:53     -476.364563        0.017044
BFGS:   37 14:16:53     -476.364624        0.015769
BFGS:   38 14:16:53     -476.365479        0.020097
BFGS:   39 14:16:53     -476.366150        0.020261
BFGS:   40 14:16:53     -476.366821        0.024122
BFGS:   41 14:16:54     -476.367249        0.025092
BFGS:   42 14:16:54     -476.367554        0.020555
BFGS:   43 14:16:54     -476.367981        0.016714
BFGS:   44 14:16:54     -476.368774        0.021359
BFGS:   45 14:16:54     -476.369812        0.025309
BFGS:   46 14:16:55     -476.370331        0.029117
BFGS:   47 14:16:55     -476.371124        0.027422
BFGS:   48 14:16:55     -476.371521        0.027272
BFGS:   49 14:16:55     -476.372284        0.024409
BFGS:   50 14:16:55     -476.373352        0.019801
BFGS:   51 14:16:56     -476.374542        0.029437
BFGS:   52 14:16:56     -476.375061        0.025931
BFGS:   53 14:16:56     -476.375641        0.021605
BFGS:   54 14:16:56     -476.375885        0.029432
BFGS:   55 14:16:56     -476.376740        0.035136
BFGS:   56 14:16:57     -476.377563        0.033637
BFGS:   57 14:16:57     -476.378113        0.024799
BFGS:   58 14:16:57     -476.378143        0.019118
BFGS:   59 14:16:57     -476.378754        0.020467
BFGS:   60 14:16:57     -476.379272        0.018011
BFGS:   61 14:16:58     -476.379883        0.017481
BFGS:   62 14:16:58     -476.380035        0.017993
BFGS:   63 14:16:58     -476.380615        0.013670
BFGS:   64 14:16:58     -476.380737        0.013012
BFGS:   65 14:16:58     -476.380371        0.012183
BFGS:   66 14:16:59     -476.381317        0.013367
BFGS:   67 14:16:59     -476.381500        0.012991
BFGS:   68 14:16:59     -476.381775        0.011339
BFGS:   69 14:16:59     -476.381836        0.009968
