      Step     Time          Energy          fmax
BFGS:    0 15:54:56     -373.096981        0.189216
BFGS:    1 15:54:57     -373.105779        0.183971
BFGS:    2 15:54:58     -373.123948        0.175993
BFGS:    3 15:54:59     -373.126037        0.174175
BFGS:    4 15:54:59     -373.147679        0.149759
BFGS:    5 15:55:00     -373.159011        0.160541
BFGS:    6 15:55:01     -373.170194        0.155930
BFGS:    7 15:55:02     -373.180687        0.187432
BFGS:    8 15:55:02     -373.198142        0.197807
BFGS:    9 15:55:03     -373.217667        0.149145
BFGS:   10 15:55:04     -373.231053        0.122682
BFGS:   11 15:55:05     -373.235656        0.071986
BFGS:   12 15:55:06     -373.237259        0.053557
BFGS:   13 15:55:06     -373.238400        0.038978
BFGS:   14 15:55:07     -373.239146        0.021893
BFGS:   15 15:55:08     -373.239456        0.022963
BFGS:   16 15:55:09     -373.239587        0.018892
BFGS:   17 15:55:09     -373.239677        0.011477
BFGS:   18 15:55:10     -373.239730        0.008435
