      Step     Time          Energy          fmax
BFGS:    0 15:50:36     -373.082917        0.182722
BFGS:    1 15:50:37     -373.091180        0.181014
BFGS:    2 15:50:39     -373.108704        0.173079
BFGS:    3 15:50:39     -373.110694        0.171300
BFGS:    4 15:50:40     -373.131826        0.146343
BFGS:    5 15:50:41     -373.142532        0.137632
BFGS:    6 15:50:42     -373.153944        0.160974
BFGS:    7 15:50:43     -373.165400        0.189687
BFGS:    8 15:50:44     -373.183785        0.206079
BFGS:    9 15:50:44     -373.202424        0.161513
BFGS:   10 15:50:45     -373.213799        0.116194
BFGS:   11 15:50:46     -373.217613        0.079431
BFGS:   12 15:50:47     -373.219198        0.048519
BFGS:   13 15:50:48     -373.220427        0.034815
BFGS:   14 15:50:48     -373.221182        0.025330
BFGS:   15 15:50:49     -373.221530        0.021792
BFGS:   16 15:50:50     -373.221718        0.017952
BFGS:   17 15:50:51     -373.221847        0.012292
BFGS:   18 15:50:51     -373.221905        0.005851
