      Step     Time          Energy          fmax
BFGS:    0 16:00:14     -373.101503        0.183134
BFGS:    1 16:00:15     -373.109154        0.181505
BFGS:    2 16:00:16     -373.126496        0.173703
BFGS:    3 16:00:16     -373.128657        0.171881
BFGS:    4 16:00:17     -373.149343        0.149009
BFGS:    5 16:00:18     -373.159583        0.134304
BFGS:    6 16:00:19     -373.170260        0.117370
BFGS:    7 16:00:19     -373.180805        0.126214
BFGS:    8 16:00:20     -373.198211        0.164201
BFGS:    9 16:00:21     -373.217059        0.173694
BFGS:   10 16:00:21     -373.230293        0.135213
BFGS:   11 16:00:22     -373.235774        0.081734
BFGS:   12 16:00:23     -373.238121        0.058127
BFGS:   13 16:00:24     -373.239402        0.039050
BFGS:   14 16:00:24     -373.239953        0.020984
BFGS:   15 16:00:25     -373.240155        0.014960
BFGS:   16 16:00:26     -373.240273        0.010383
BFGS:   17 16:00:27     -373.240357        0.006370
