      Step     Time          Energy          fmax
BFGS:    0 15:58:40     -373.074884        0.179047
BFGS:    1 15:58:41     -373.084650        0.177157
BFGS:    2 15:58:41     -373.103538        0.168936
BFGS:    3 15:58:42     -373.105344        0.167279
BFGS:    4 15:58:43     -373.125698        0.142354
BFGS:    5 15:58:44     -373.135550        0.127241
BFGS:    6 15:58:44     -373.146892        0.145551
BFGS:    7 15:58:45     -373.159323        0.179626
BFGS:    8 15:58:46     -373.178989        0.197031
BFGS:    9 15:58:46     -373.197190        0.154046
BFGS:   10 15:58:47     -373.206622        0.096326
BFGS:   11 15:58:48     -373.209238        0.059299
BFGS:   12 15:58:49     -373.210314        0.049834
BFGS:   13 15:58:49     -373.211308        0.038173
BFGS:   14 15:58:50     -373.211986        0.027298
BFGS:   15 15:58:51     -373.212338        0.022210
BFGS:   16 15:58:52     -373.212552        0.017880
BFGS:   17 15:58:52     -373.212723        0.013018
BFGS:   18 15:58:53     -373.212817        0.009899
