      Step     Time          Energy          fmax
BFGS:    0 16:05:24     -373.147737        0.211303
BFGS:    1 16:05:25     -373.155248        0.186918
BFGS:    2 16:05:26     -373.173276        0.178439
BFGS:    3 16:05:27     -373.175590        0.176464
BFGS:    4 16:05:28     -373.196180        0.153669
BFGS:    5 16:05:29     -373.205729        0.140214
BFGS:    6 16:05:30     -373.216193        0.161766
BFGS:    7 16:05:30     -373.227228        0.188704
BFGS:    8 16:05:31     -373.245210        0.183324
BFGS:    9 16:05:32     -373.263995        0.225996
BFGS:   10 16:05:33     -373.277080        0.216178
BFGS:   11 16:05:34     -373.283076        0.153107
BFGS:   12 16:05:35     -373.286168        0.086799
BFGS:   13 16:05:36     -373.287986        0.044908
BFGS:   14 16:05:37     -373.288741        0.025372
BFGS:   15 16:05:38     -373.289008        0.019839
BFGS:   16 16:05:38     -373.289163        0.018856
BFGS:   17 16:05:39     -373.289273        0.014093
BFGS:   18 16:05:40     -373.289317        0.007655
