      Step     Time          Energy          fmax
BFGS:    0 15:55:36     -373.137275        0.189186
BFGS:    1 15:55:37     -373.144326        0.187660
BFGS:    2 15:55:38     -373.163888        0.179110
BFGS:    3 15:55:38     -373.166697        0.176980
BFGS:    4 15:55:39     -373.184554        0.159392
BFGS:    5 15:55:40     -373.192046        0.149905
BFGS:    6 15:55:40     -373.200610        0.138527
BFGS:    7 15:55:41     -373.211039        0.160658
BFGS:    8 15:55:42     -373.229939        0.173699
BFGS:    9 15:55:43     -373.251809        0.173642
BFGS:   10 15:55:43     -373.268435        0.154151
BFGS:   11 15:55:44     -373.276095        0.113428
BFGS:   12 15:55:45     -373.279461        0.060109
BFGS:   13 15:55:46     -373.281162        0.036610
BFGS:   14 15:55:47     -373.281816        0.027308
BFGS:   15 15:55:48     -373.282018        0.021499
BFGS:   16 15:55:49     -373.282134        0.018428
BFGS:   17 15:55:50     -373.282235        0.009987
