      Step     Time          Energy          fmax
BFGS:    0 16:02:35     -373.089206        0.185141
BFGS:    1 16:02:36     -373.098027        0.183298
BFGS:    2 16:02:37     -373.115589        0.175259
BFGS:    3 16:02:38     -373.117479        0.173532
BFGS:    4 16:02:38     -373.142515        0.144673
BFGS:    5 16:02:39     -373.157129        0.191335
BFGS:    6 16:02:40     -373.171132        0.189223
BFGS:    7 16:02:41     -373.182143        0.158839
BFGS:    8 16:02:42     -373.197739        0.162005
BFGS:    9 16:02:42     -373.213504        0.134445
BFGS:   10 16:02:43     -373.223468        0.114354
BFGS:   11 16:02:44     -373.226789        0.075006
BFGS:   12 16:02:45     -373.228022        0.044880
BFGS:   13 16:02:45     -373.228894        0.026440
BFGS:   14 16:02:46     -373.229405        0.016443
BFGS:   15 16:02:47     -373.229609        0.015763
BFGS:   16 16:02:48     -373.229705        0.010623
BFGS:   17 16:02:49     -373.229772        0.006601
