       T/K            E/eV            F/eV         S/(eV/K)
       0.0     -71565.0623     -71565.0623  0.000000E+00
     300.0     -71565.0534     -71565.1740  0.402083E-03
    1000.0     -71565.0489     -71565.4605  0.411560E-03
  Infinite     -71565.0470         -        0.412554E-03
