        T             E               F          S             
       0.0      -1134.2365      -1134.2365  0.000000E+00
     300.0      -1134.2365      -1134.3187  0.273894E-03
    1000.0      -1134.2238      -1134.5144  0.290606E-03
  Infinite      -1134.0694         -        0.346878E-03
