      Step     Time          Energy          fmax
BFGS:    0 14:20:45     -476.206451        0.343098
BFGS:    1 14:20:46     -476.224670        0.324087
BFGS:    2 14:20:46     -476.320404        0.146262
BFGS:    3 14:20:47     -476.323090        0.138413
BFGS:    4 14:20:47     -476.347595        0.071902
BFGS:    5 14:20:47     -476.348633        0.067459
BFGS:    6 14:20:47     -476.355560        0.072226
BFGS:    7 14:20:48     -476.357605        0.062240
BFGS:    8 14:20:48     -476.358704        0.050720
BFGS:    9 14:20:48     -476.359314        0.045545
BFGS:   10 14:20:48     -476.360382        0.040756
BFGS:   11 14:20:48     -476.361511        0.022788
BFGS:   12 14:20:49     -476.362244        0.022134
BFGS:   13 14:20:49     -476.362610        0.025316
BFGS:   14 14:20:49     -476.362915        0.024629
BFGS:   15 14:20:49     -476.363403        0.026411
BFGS:   16 14:20:49     -476.364044        0.019135
BFGS:   17 14:20:49     -476.364441        0.018962
BFGS:   18 14:20:50     -476.364624        0.018816
BFGS:   19 14:20:50     -476.364777        0.018717
BFGS:   20 14:20:50     -476.364929        0.018588
BFGS:   21 14:20:50     -476.365204        0.018437
BFGS:   22 14:20:50     -476.365479        0.018335
BFGS:   23 14:20:50     -476.365692        0.018318
BFGS:   24 14:20:51     -476.365173        0.018326
BFGS:   25 14:20:51     -476.365967        0.018303
BFGS:   26 14:20:51     -476.366211        0.020049
BFGS:   27 14:20:51     -476.366577        0.018679
BFGS:   28 14:20:51     -476.366913        0.017475
BFGS:   29 14:20:51     -476.367126        0.017179
BFGS:   30 14:20:52     -476.367310        0.016968
BFGS:   31 14:20:52     -476.367584        0.017767
BFGS:   32 14:20:52     -476.368073        0.017330
BFGS:   33 14:20:52     -476.368652        0.021103
BFGS:   34 14:20:52     -476.368958        0.028890
BFGS:   35 14:20:53     -476.369446        0.027431
BFGS:   36 14:20:53     -476.369812        0.020017
BFGS:   37 14:20:53     -476.370270        0.024406
BFGS:   38 14:20:53     -476.371002        0.026830
BFGS:   39 14:20:53     -476.372223        0.040051
BFGS:   40 14:20:54     -476.373047        0.044022
BFGS:   41 14:20:54     -476.373535        0.036454
BFGS:   42 14:20:54     -476.374176        0.020187
BFGS:   43 14:20:54     -476.375275        0.025529
BFGS:   44 14:20:54     -476.376617        0.038671
BFGS:   45 14:20:55     -476.377655        0.052832
BFGS:   46 14:20:55     -476.377716        0.046700
BFGS:   47 14:20:55     -476.378937        0.037573
BFGS:   48 14:20:55     -476.379974        0.024353
BFGS:   49 14:20:56     -476.381439        0.034705
BFGS:   50 14:20:56     -476.382660        0.053852
BFGS:   51 14:20:56     -476.383179        0.048111
BFGS:   52 14:20:56     -476.383514        0.033424
BFGS:   53 14:20:56     -476.383911        0.023693
BFGS:   54 14:20:57     -476.383881        0.023838
BFGS:   55 14:20:57     -476.385010        0.033252
BFGS:   56 14:20:57     -476.385254        0.030061
BFGS:   57 14:20:57     -476.385406        0.019893
BFGS:   58 14:20:57     -476.385620        0.013597
BFGS:   59 14:20:58     -476.385895        0.013859
BFGS:   60 14:20:58     -476.386230        0.024305
BFGS:   61 14:20:58     -476.386353        0.020515
BFGS:   62 14:20:58     -476.386475        0.012455
BFGS:   63 14:20:58     -476.385925        0.011306
BFGS:   64 14:20:59     -476.386658        0.011279
BFGS:   65 14:20:59     -476.386597        0.016447
BFGS:   66 14:20:59     -476.386902        0.014359
BFGS:   67 14:20:59     -476.386963        0.010661
BFGS:   68 14:20:59     -476.387024        0.010525
BFGS:   69 14:21:00     -476.387085        0.010529
BFGS:   70 14:21:00     -476.386871        0.014429
BFGS:   71 14:21:00     -476.387329        0.013108
BFGS:   72 14:21:00     -476.387360        0.010004
BFGS:   73 14:21:00     -476.387360        0.010020
BFGS:   74 14:21:01     -476.386841        0.010006
BFGS:   75 14:21:01     -476.387512        0.012664
BFGS:   76 14:21:01     -476.387604        0.014123
BFGS:   77 14:21:01     -476.387451        0.009317
