      Step     Time          Energy          fmax
BFGS:    0 16:11:10     -373.086583        0.183012
BFGS:    1 16:11:10     -373.096296        0.180988
BFGS:    2 16:11:11     -373.114902        0.172540
BFGS:    3 16:11:12     -373.116667        0.170871
BFGS:    4 16:11:13     -373.138781        0.143745
BFGS:    5 16:11:14     -373.150845        0.143126
BFGS:    6 16:11:14     -373.163901        0.121061
BFGS:    7 16:11:15     -373.176251        0.123617
BFGS:    8 16:11:16     -373.194055        0.142513
BFGS:    9 16:11:17     -373.210178        0.124965
BFGS:   10 16:11:17     -373.218852        0.084558
BFGS:   11 16:11:18     -373.221527        0.052802
BFGS:   12 16:11:19     -373.222725        0.038707
BFGS:   13 16:11:19     -373.223693        0.028038
BFGS:   14 16:11:20     -373.224268        0.022375
BFGS:   15 16:11:21     -373.224554        0.018070
BFGS:   16 16:11:21     -373.224748        0.012191
BFGS:   17 16:11:22     -373.224914        0.011116
BFGS:   18 16:11:23     -373.225004        0.008647
