      Step     Time          Energy          fmax
BFGS:    0 14:20:10     -476.206146        0.345189
BFGS:    1 14:20:10     -476.224487        0.325039
BFGS:    2 14:20:11     -476.317749        0.109632
BFGS:    3 14:20:11     -476.320251        0.105531
BFGS:    4 14:20:11     -476.343079        0.060268
BFGS:    5 14:20:12     -476.344177        0.057887
BFGS:    6 14:20:12     -476.348083        0.063121
BFGS:    7 14:20:12     -476.350769        0.064128
BFGS:    8 14:20:13     -476.352509        0.047703
BFGS:    9 14:20:13     -476.353149        0.034574
BFGS:   10 14:20:13     -476.353638        0.038000
BFGS:   11 14:20:13     -476.354492        0.032299
BFGS:   12 14:20:13     -476.355469        0.025845
BFGS:   13 14:20:13     -476.356201        0.022509
BFGS:   14 14:20:14     -476.356567        0.022079
BFGS:   15 14:20:14     -476.356873        0.024504
BFGS:   16 14:20:14     -476.357361        0.023970
BFGS:   17 14:20:14     -476.357971        0.019196
BFGS:   18 14:20:14     -476.358398        0.018996
BFGS:   19 14:20:14     -476.358612        0.018822
BFGS:   20 14:20:15     -476.358704        0.018706
BFGS:   21 14:20:15     -476.358948        0.018560
BFGS:   22 14:20:15     -476.359222        0.018385
BFGS:   23 14:20:15     -476.359558        0.018260
BFGS:   24 14:20:15     -476.359711        0.018240
BFGS:   25 14:20:15     -476.359833        0.018253
BFGS:   26 14:20:16     -476.359924        0.018242
BFGS:   27 14:20:16     -476.360260        0.018139
BFGS:   28 14:20:16     -476.360626        0.017862
BFGS:   29 14:20:16     -476.360962        0.017467
BFGS:   30 14:20:16     -476.361176        0.017151
BFGS:   31 14:20:16     -476.361389        0.016922
BFGS:   32 14:20:17     -476.361633        0.016610
BFGS:   33 14:20:17     -476.362152        0.017669
BFGS:   34 14:20:17     -476.362823        0.016346
BFGS:   35 14:20:17     -476.363373        0.021956
BFGS:   36 14:20:17     -476.363068        0.020383
BFGS:   37 14:20:18     -476.363403        0.016553
BFGS:   38 14:20:18     -476.364136        0.021124
BFGS:   39 14:20:18     -476.365295        0.021895
BFGS:   40 14:20:18     -476.366089        0.030856
BFGS:   41 14:20:18     -476.366364        0.033885
BFGS:   42 14:20:19     -476.367096        0.027971
BFGS:   43 14:20:19     -476.367004        0.025987
BFGS:   44 14:20:19     -476.367981        0.020068
BFGS:   45 14:20:19     -476.369812        0.035682
BFGS:   46 14:20:19     -476.370422        0.050056
BFGS:   47 14:20:20     -476.371338        0.046184
BFGS:   48 14:20:20     -476.371826        0.032766
BFGS:   49 14:20:20     -476.372681        0.023283
BFGS:   50 14:20:20     -476.373718        0.027134
BFGS:   51 14:20:20     -476.375061        0.052128
BFGS:   52 14:20:21     -476.375732        0.052230
BFGS:   53 14:20:21     -476.376099        0.040054
BFGS:   54 14:20:21     -476.376221        0.026573
BFGS:   55 14:20:21     -476.376801        0.031627
BFGS:   56 14:20:21     -476.377686        0.029331
BFGS:   57 14:20:22     -476.378021        0.031221
BFGS:   58 14:20:22     -476.378235        0.022296
BFGS:   59 14:20:22     -476.378510        0.016755
BFGS:   60 14:20:22     -476.378876        0.015701
BFGS:   61 14:20:23     -476.378723        0.026097
BFGS:   62 14:20:23     -476.379669        0.025745
BFGS:   63 14:20:23     -476.379822        0.016882
BFGS:   64 14:20:23     -476.379913        0.011017
BFGS:   65 14:20:23     -476.379913        0.011019
BFGS:   66 14:20:24     -476.380371        0.018850
BFGS:   67 14:20:24     -476.380402        0.019856
BFGS:   68 14:20:24     -476.380676        0.012332
BFGS:   69 14:20:24     -476.380585        0.010150
BFGS:   70 14:20:24     -476.380859        0.009968
