      Step     Time          Energy          fmax
BFGS:    0 16:05:01     -373.107151        0.187981
BFGS:    1 16:05:02     -373.115456        0.186148
BFGS:    2 16:05:03     -373.131841        0.178059
BFGS:    3 16:05:04     -373.133721        0.176218
BFGS:    4 16:05:04     -373.160052        0.143978
BFGS:    5 16:05:05     -373.178115        0.137673
BFGS:    6 16:05:06     -373.195227        0.183730
BFGS:    7 16:05:07     -373.205874        0.181977
BFGS:    8 16:05:08     -373.218137        0.143500
BFGS:    9 16:05:08     -373.230698        0.152619
BFGS:   10 16:05:09     -373.239638        0.147279
BFGS:   11 16:05:10     -373.243367        0.105736
BFGS:   12 16:05:11     -373.244961        0.062835
BFGS:   13 16:05:13     -373.245975        0.031634
BFGS:   14 16:05:14     -373.246506        0.016020
BFGS:   15 16:05:15     -373.246691        0.014114
BFGS:   16 16:05:16     -373.246770        0.012151
BFGS:   17 16:05:17     -373.246833        0.010355
BFGS:   18 16:05:18     -373.246870        0.006072
