      Step     Time          Energy          fmax
BFGS:    0 16:10:26     -373.109553        0.183270
BFGS:    1 16:10:26     -373.118580        0.181393
BFGS:    2 16:10:27     -373.136906        0.173111
BFGS:    3 16:10:28     -373.138846        0.171367
BFGS:    4 16:10:29     -373.160192        0.146468
BFGS:    5 16:10:29     -373.171298        0.145622
BFGS:    6 16:10:30     -373.183008        0.130249
BFGS:    7 16:10:31     -373.194212        0.136102
BFGS:    8 16:10:32     -373.211355        0.154711
BFGS:    9 16:10:32     -373.228463        0.144885
BFGS:   10 16:10:33     -373.239407        0.109095
BFGS:   11 16:10:34     -373.243739        0.072060
BFGS:   12 16:10:35     -373.245880        0.053813
BFGS:   13 16:10:35     -373.247384        0.036243
BFGS:   14 16:10:36     -373.248180        0.025816
BFGS:   15 16:10:37     -373.248541        0.023272
BFGS:   16 16:10:38     -373.248782        0.017713
BFGS:   17 16:10:39     -373.248976        0.013519
BFGS:   18 16:10:39     -373.249077        0.011061
BFGS:   19 16:10:40     -373.249121        0.012145
BFGS:   20 16:10:41     -373.249159        0.010921
BFGS:   21 16:10:42     -373.249207        0.007072
