      Step     Time          Energy          fmax
BFGS:    0 16:06:25     -373.107396        0.183664
BFGS:    1 16:06:25     -373.115085        0.181922
BFGS:    2 16:06:26     -373.131588        0.173660
BFGS:    3 16:06:27     -373.133554        0.171798
BFGS:    4 16:06:28     -373.157137        0.143563
BFGS:    5 16:06:29     -373.171347        0.123400
BFGS:    6 16:06:29     -373.185202        0.157258
BFGS:    7 16:06:30     -373.195834        0.162353
BFGS:    8 16:06:31     -373.210435        0.139098
BFGS:    9 16:06:32     -373.225542        0.155873
BFGS:   10 16:06:32     -373.236161        0.139152
BFGS:   11 16:06:33     -373.240694        0.094362
BFGS:   12 16:06:34     -373.242750        0.054950
BFGS:   13 16:06:35     -373.243956        0.042514
BFGS:   14 16:06:35     -373.244522        0.024437
BFGS:   15 16:06:36     -373.244752        0.017655
BFGS:   16 16:06:37     -373.244900        0.015127
BFGS:   17 16:06:38     -373.245029        0.012888
BFGS:   18 16:06:39     -373.245097        0.007691
