      Step     Time          Energy          fmax
BFGS:    0 16:04:25     -373.119725        0.188297
BFGS:    1 16:04:26     -373.127304        0.186555
BFGS:    2 16:04:27     -373.143877        0.178144
BFGS:    3 16:04:28     -373.145917        0.176213
BFGS:    4 16:04:28     -373.169902        0.147526
BFGS:    5 16:04:29     -373.182947        0.128053
BFGS:    6 16:04:30     -373.195256        0.139931
BFGS:    7 16:04:31     -373.205237        0.137982
BFGS:    8 16:04:31     -373.220145        0.129924
BFGS:    9 16:04:32     -373.235934        0.152113
BFGS:   10 16:04:33     -373.247580        0.125894
BFGS:   11 16:04:34     -373.252963        0.082225
BFGS:   12 16:04:34     -373.255460        0.048784
BFGS:   13 16:04:35     -373.256761        0.026107
BFGS:   14 16:04:36     -373.257263        0.015311
BFGS:   15 16:04:37     -373.257427        0.012667
BFGS:   16 16:04:37     -373.257527        0.009517
