      Step     Time          Energy          fmax
BFGS:    0 16:06:44     -373.095568        0.187731
BFGS:    1 16:06:45     -373.104769        0.185806
BFGS:    2 16:06:46     -373.121226        0.178005
BFGS:    3 16:06:46     -373.122936        0.176269
BFGS:    4 16:06:47     -373.153822        0.137449
BFGS:    5 16:06:48     -373.182370        0.170715
BFGS:    6 16:06:49     -373.211959        0.163962
BFGS:    7 16:06:49     -373.224226        0.108314
BFGS:    8 16:06:50     -373.229770        0.083705
BFGS:    9 16:06:51     -373.233467        0.073595
BFGS:   10 16:06:52     -373.235932        0.042621
BFGS:   11 16:06:52     -373.236693        0.016952
BFGS:   12 16:06:53     -373.236831        0.011529
BFGS:   13 16:06:54     -373.236896        0.010599
BFGS:   14 16:06:55     -373.236995        0.010238
BFGS:   15 16:06:56     -373.237069        0.007619
