      Step     Time          Energy          fmax
BFGS:    0 16:07:40     -373.127232        0.188456
BFGS:    1 16:07:41     -373.135765        0.186650
BFGS:    2 16:07:42     -373.153001        0.178660
BFGS:    3 16:07:43     -373.155054        0.176801
BFGS:    4 16:07:44     -373.178137        0.150095
BFGS:    5 16:07:44     -373.191620        0.134003
BFGS:    6 16:07:45     -373.204649        0.162961
BFGS:    7 16:07:46     -373.215120        0.180135
BFGS:    8 16:07:46     -373.230668        0.158464
BFGS:    9 16:07:47     -373.247616        0.136882
BFGS:   10 16:07:48     -373.259948        0.104408
BFGS:   11 16:07:49     -373.265106        0.083390
BFGS:   12 16:07:49     -373.267230        0.055312
BFGS:   13 16:07:50     -373.268447        0.031086
BFGS:   14 16:07:51     -373.269016        0.018334
BFGS:   15 16:07:52     -373.269209        0.016079
BFGS:   16 16:07:53     -373.269302        0.012818
BFGS:   17 16:07:53     -373.269375        0.007376
