      Step     Time          Energy          fmax
BFGS:    0 14:16:07     -476.206757        0.343196
BFGS:    1 14:16:08     -476.225067        0.323193
BFGS:    2 14:16:08     -476.318176        0.110208
BFGS:    3 14:16:09     -476.320618        0.105816
BFGS:    4 14:16:09     -476.344116        0.060013
BFGS:    5 14:16:09     -476.345947        0.059153
BFGS:    6 14:16:10     -476.348083        0.065287
BFGS:    7 14:16:10     -476.350739        0.070472
BFGS:    8 14:16:10     -476.353607        0.062095
BFGS:    9 14:16:10     -476.355072        0.041392
BFGS:   10 14:16:10     -476.355774        0.036757
BFGS:   11 14:16:10     -476.356079        0.040451
BFGS:   12 14:16:11     -476.357544        0.034474
BFGS:   13 14:16:11     -476.358887        0.027499
BFGS:   14 14:16:11     -476.359711        0.023587
BFGS:   15 14:16:11     -476.360107        0.022643
BFGS:   16 14:16:11     -476.360504        0.024453
BFGS:   17 14:16:11     -476.361053        0.023194
BFGS:   18 14:16:12     -476.361755        0.019993
BFGS:   19 14:16:12     -476.362244        0.018079
BFGS:   20 14:16:12     -476.362457        0.017918
BFGS:   21 14:16:12     -476.362579        0.017821
BFGS:   22 14:16:12     -476.362854        0.017702
BFGS:   23 14:16:12     -476.363220        0.017574
BFGS:   24 14:16:13     -476.363617        0.017500
BFGS:   25 14:16:13     -476.363831        0.017505
BFGS:   26 14:16:13     -476.363953        0.017522
BFGS:   27 14:16:13     -476.364105        0.017510
BFGS:   28 14:16:13     -476.364410        0.017407
BFGS:   29 14:16:13     -476.364746        0.017167
BFGS:   30 14:16:14     -476.365051        0.016869
BFGS:   31 14:16:14     -476.365173        0.016661
BFGS:   32 14:16:14     -476.365326        0.016496
BFGS:   33 14:16:14     -476.365601        0.016253
BFGS:   34 14:16:14     -476.365875        0.019536
BFGS:   35 14:16:15     -476.366394        0.025118
BFGS:   36 14:16:15     -476.366272        0.022813
BFGS:   37 14:16:15     -476.366486        0.016977
BFGS:   38 14:16:15     -476.367310        0.015062
BFGS:   39 14:16:16     -476.367737        0.017307
BFGS:   40 14:16:16     -476.368347        0.017281
BFGS:   41 14:16:16     -476.368958        0.021865
BFGS:   42 14:16:16     -476.369324        0.023887
BFGS:   43 14:16:16     -476.369324        0.020522
BFGS:   44 14:16:17     -476.370087        0.016287
BFGS:   45 14:16:17     -476.370850        0.020291
BFGS:   46 14:16:17     -476.371765        0.022814
BFGS:   47 14:16:17     -476.372437        0.029159
BFGS:   48 14:16:18     -476.372467        0.032619
BFGS:   49 14:16:18     -476.373291        0.032554
BFGS:   50 14:16:18     -476.374084        0.028058
BFGS:   51 14:16:18     -476.375061        0.034723
BFGS:   52 14:16:18     -476.376312        0.052800
BFGS:   53 14:16:19     -476.376862        0.051306
BFGS:   54 14:16:19     -476.377167        0.039937
BFGS:   55 14:16:19     -476.377441        0.033659
BFGS:   56 14:16:19     -476.378235        0.034601
BFGS:   57 14:16:19     -476.378601        0.035363
BFGS:   58 14:16:20     -476.379456        0.042589
BFGS:   59 14:16:20     -476.379364        0.034732
BFGS:   60 14:16:20     -476.379913        0.018548
BFGS:   61 14:16:20     -476.380676        0.017184
BFGS:   62 14:16:21     -476.381409        0.035347
BFGS:   63 14:16:21     -476.381653        0.045494
BFGS:   64 14:16:21     -476.382080        0.038088
BFGS:   65 14:16:21     -476.382538        0.023810
BFGS:   66 14:16:21     -476.382599        0.013906
BFGS:   67 14:16:22     -476.383392        0.021936
BFGS:   68 14:16:22     -476.383728        0.030520
BFGS:   69 14:16:22     -476.383484        0.023850
BFGS:   70 14:16:22     -476.384003        0.013816
BFGS:   71 14:16:22     -476.384155        0.010558
BFGS:   72 14:16:23     -476.384399        0.015653
BFGS:   73 14:16:23     -476.384644        0.020906
BFGS:   74 14:16:23     -476.384766        0.014448
BFGS:   75 14:16:23     -476.384796        0.008981
