      Step     Time          Energy          fmax
BFGS:    0 14:19:14     -476.370087        0.299056
BFGS:    1 14:19:14     -476.381134        0.283707
BFGS:    2 14:19:15     -476.446747        0.145337
BFGS:    3 14:19:15     -476.449127        0.144521
BFGS:    4 14:19:16     -476.465240        0.108263
BFGS:    5 14:19:16     -476.471466        0.099829
BFGS:    6 14:19:16     -476.474274        0.094345
BFGS:    7 14:19:16     -476.475739        0.076029
BFGS:    8 14:19:17     -476.478180        0.058379
BFGS:    9 14:19:17     -476.480652        0.048938
BFGS:   10 14:19:17     -476.482239        0.051741
BFGS:   11 14:19:17     -476.482910        0.046098
BFGS:   12 14:19:17     -476.483459        0.051917
BFGS:   13 14:19:17     -476.484375        0.046087
BFGS:   14 14:19:18     -476.485626        0.036748
BFGS:   15 14:19:18     -476.486603        0.043631
BFGS:   16 14:19:18     -476.487122        0.043101
BFGS:   17 14:19:18     -476.487427        0.047241
BFGS:   18 14:19:18     -476.487915        0.042145
BFGS:   19 14:19:18     -476.488403        0.027338
BFGS:   20 14:19:19     -476.488861        0.025167
BFGS:   21 14:19:19     -476.489075        0.023369
BFGS:   22 14:19:19     -476.489197        0.018081
BFGS:   23 14:19:19     -476.489441        0.019989
BFGS:   24 14:19:19     -476.489807        0.017672
BFGS:   25 14:19:20     -476.490112        0.024202
BFGS:   26 14:19:20     -476.490356        0.023367
BFGS:   27 14:19:20     -476.490509        0.017410
BFGS:   28 14:19:20     -476.490692        0.017416
BFGS:   29 14:19:20     -476.490692        0.018243
BFGS:   30 14:19:20     -476.491394        0.027672
BFGS:   31 14:19:21     -476.491577        0.026439
BFGS:   32 14:19:21     -476.491974        0.020990
BFGS:   33 14:19:21     -476.491821        0.020756
BFGS:   34 14:19:21     -476.492493        0.020952
BFGS:   35 14:19:21     -476.492645        0.030769
BFGS:   36 14:19:22     -476.493439        0.042783
BFGS:   37 14:19:22     -476.493805        0.038856
BFGS:   38 14:19:22     -476.494019        0.026589
BFGS:   39 14:19:22     -476.494446        0.024340
BFGS:   40 14:19:22     -476.494812        0.032372
BFGS:   41 14:19:23     -476.495972        0.039544
BFGS:   42 14:19:23     -476.496613        0.032475
BFGS:   43 14:19:23     -476.496735        0.027366
BFGS:   44 14:19:23     -476.497406        0.029099
BFGS:   45 14:19:23     -476.498016        0.030342
BFGS:   46 14:19:24     -476.498901        0.038697
BFGS:   47 14:19:24     -476.499481        0.042241
BFGS:   48 14:19:24     -476.500702        0.040720
BFGS:   49 14:19:24     -476.501434        0.041634
BFGS:   50 14:19:24     -476.501312        0.032999
BFGS:   51 14:19:25     -476.502106        0.032734
BFGS:   52 14:19:25     -476.503784        0.045243
BFGS:   53 14:19:25     -476.504395        0.048429
BFGS:   54 14:19:25     -476.505341        0.054645
BFGS:   55 14:19:25     -476.505768        0.047512
BFGS:   56 14:19:26     -476.506378        0.032439
BFGS:   57 14:19:26     -476.507263        0.041411
BFGS:   58 14:19:26     -476.507751        0.032603
BFGS:   59 14:19:26     -476.508575        0.036514
BFGS:   60 14:19:26     -476.508545        0.035580
BFGS:   61 14:19:27     -476.509338        0.029757
BFGS:   62 14:19:27     -476.509857        0.034196
BFGS:   63 14:19:27     -476.510529        0.036310
BFGS:   64 14:19:27     -476.511475        0.040287
BFGS:   65 14:19:27     -476.511566        0.033505
BFGS:   66 14:19:28     -476.511993        0.021465
BFGS:   67 14:19:28     -476.512085        0.025857
BFGS:   68 14:19:28     -476.512817        0.024893
BFGS:   69 14:19:28     -476.513184        0.025164
BFGS:   70 14:19:28     -476.512695        0.020260
BFGS:   71 14:19:29     -476.513428        0.015707
BFGS:   72 14:19:29     -476.513611        0.018884
BFGS:   73 14:19:29     -476.513885        0.020193
BFGS:   74 14:19:29     -476.514099        0.016970
BFGS:   75 14:19:29     -476.514221        0.011703
BFGS:   76 14:19:30     -476.513947        0.011294
BFGS:   77 14:19:30     -476.514313        0.010389
BFGS:   78 14:19:30     -476.514404        0.012019
BFGS:   79 14:19:30     -476.514496        0.013564
BFGS:   80 14:19:30     -476.514557        0.009520
