      Step     Time          Energy          fmax
BFGS:    0 14:21:23     -476.204590        0.342120
BFGS:    1 14:21:23     -476.223145        0.322237
BFGS:    2 14:21:23     -476.320190        0.135886
BFGS:    3 14:21:24     -476.323059        0.128467
BFGS:    4 14:21:24     -476.348816        0.063917
BFGS:    5 14:21:25     -476.350098        0.062083
BFGS:    6 14:21:25     -476.354309        0.060222
BFGS:    7 14:21:25     -476.357056        0.059525
BFGS:    8 14:21:25     -476.358826        0.042483
BFGS:    9 14:21:25     -476.359406        0.045360
BFGS:   10 14:21:26     -476.359985        0.044766
BFGS:   11 14:21:26     -476.360840        0.033631
BFGS:   12 14:21:26     -476.361908        0.029962
BFGS:   13 14:21:26     -476.362610        0.024683
BFGS:   14 14:21:26     -476.362976        0.029325
BFGS:   15 14:21:26     -476.363342        0.030156
BFGS:   16 14:21:27     -476.363861        0.027387
BFGS:   17 14:21:27     -476.364502        0.019215
BFGS:   18 14:21:27     -476.364929        0.019022
BFGS:   19 14:21:27     -476.365112        0.018865
BFGS:   20 14:21:27     -476.365234        0.018760
BFGS:   21 14:21:27     -476.365417        0.018616
BFGS:   22 14:21:28     -476.365814        0.018447
BFGS:   23 14:21:28     -476.366089        0.018322
BFGS:   24 14:21:28     -476.366302        0.018292
BFGS:   25 14:21:28     -476.366455        0.018289
BFGS:   26 14:21:28     -476.366638        0.018246
BFGS:   27 14:21:28     -476.366913        0.018077
BFGS:   28 14:21:29     -476.367310        0.017718
BFGS:   29 14:21:29     -476.367462        0.023783
BFGS:   30 14:21:29     -476.367859        0.021875
BFGS:   31 14:21:29     -476.368073        0.017265
BFGS:   32 14:21:29     -476.368347        0.016794
BFGS:   33 14:21:30     -476.368835        0.023725
BFGS:   34 14:21:30     -476.369446        0.031598
BFGS:   35 14:21:30     -476.369812        0.036737
BFGS:   36 14:21:30     -476.369781        0.031198
BFGS:   37 14:21:31     -476.369812        0.019683
BFGS:   38 14:21:31     -476.370605        0.021637
BFGS:   39 14:21:31     -476.371277        0.021338
BFGS:   40 14:21:31     -476.372192        0.032024
BFGS:   41 14:21:31     -476.372528        0.029680
BFGS:   42 14:21:32     -476.372894        0.025390
BFGS:   43 14:21:32     -476.373444        0.021809
BFGS:   44 14:21:32     -476.374451        0.026441
BFGS:   45 14:21:32     -476.375397        0.048157
BFGS:   46 14:21:33     -476.376465        0.049339
BFGS:   47 14:21:33     -476.376648        0.035679
BFGS:   48 14:21:33     -476.377472        0.027727
BFGS:   49 14:21:33     -476.378143        0.023900
BFGS:   50 14:21:33     -476.379456        0.043792
BFGS:   51 14:21:34     -476.380249        0.054654
BFGS:   52 14:21:34     -476.380951        0.043833
BFGS:   53 14:21:34     -476.380951        0.026962
BFGS:   54 14:21:34     -476.381836        0.028674
BFGS:   55 14:21:34     -476.382507        0.031027
BFGS:   56 14:21:35     -476.383240        0.041288
BFGS:   57 14:21:35     -476.383667        0.034766
BFGS:   58 14:21:35     -476.383881        0.020222
BFGS:   59 14:21:35     -476.384033        0.016220
BFGS:   60 14:21:35     -476.384888        0.021785
BFGS:   61 14:21:36     -476.385376        0.035051
BFGS:   62 14:21:36     -476.385559        0.028622
BFGS:   63 14:21:36     -476.385986        0.014996
BFGS:   64 14:21:36     -476.386292        0.014412
BFGS:   65 14:21:36     -476.386597        0.014302
BFGS:   66 14:21:37     -476.387024        0.024950
BFGS:   67 14:21:37     -476.387329        0.020310
BFGS:   68 14:21:37     -476.387268        0.011242
BFGS:   69 14:21:37     -476.387543        0.010661
BFGS:   70 14:21:37     -476.387634        0.011311
BFGS:   71 14:21:38     -476.387787        0.018619
BFGS:   72 14:21:38     -476.387726        0.017162
BFGS:   73 14:21:38     -476.388000        0.009813
