      Step     Time          Energy          fmax
BFGS:    0 16:08:36     -373.192968        0.189938
BFGS:    1 16:08:37     -373.199534        0.188558
BFGS:    2 16:08:38     -373.218842        0.180269
BFGS:    3 16:08:38     -373.221840        0.178050
BFGS:    4 16:08:39     -373.239854        0.160283
BFGS:    5 16:08:40     -373.247086        0.150988
BFGS:    6 16:08:40     -373.256149        0.152974
BFGS:    7 16:08:41     -373.267746        0.170725
BFGS:    8 16:08:42     -373.288100        0.167244
BFGS:    9 16:08:43     -373.310053        0.147247
BFGS:   10 16:08:44     -373.325363        0.124899
BFGS:   11 16:08:44     -373.332328        0.104880
BFGS:   12 16:08:45     -373.335794        0.062634
BFGS:   13 16:08:46     -373.337733        0.037574
BFGS:   14 16:08:47     -373.338497        0.020482
BFGS:   15 16:08:48     -373.338743        0.021112
BFGS:   16 16:08:48     -373.338885        0.017904
BFGS:   17 16:08:49     -373.338997        0.009389
