      Step     Time          Energy          fmax
BFGS:    0 15:53:41     -373.106913        0.193775
BFGS:    1 15:53:42     -373.113153        0.192135
BFGS:    2 15:53:43     -373.133052        0.181995
BFGS:    3 15:53:43     -373.135900        0.179736
BFGS:    4 15:53:44     -373.154007        0.161828
BFGS:    5 15:53:45     -373.161585        0.152475
BFGS:    6 15:53:45     -373.170503        0.140276
BFGS:    7 15:53:46     -373.181653        0.166281
BFGS:    8 15:53:47     -373.201580        0.216552
BFGS:    9 15:53:48     -373.223937        0.211195
BFGS:   10 15:53:48     -373.239703        0.138867
BFGS:   11 15:53:49     -373.246127        0.082057
BFGS:   12 15:53:50     -373.248679        0.055779
BFGS:   13 15:53:50     -373.249958        0.038164
BFGS:   14 15:53:51     -373.250449        0.024024
BFGS:   15 15:53:52     -373.250597        0.013687
BFGS:   16 15:53:52     -373.250677        0.011546
BFGS:   17 15:53:53     -373.250744        0.007691
