      Step     Time          Energy          fmax
BFGS:    0 14:15:30     -476.200714        0.370548
BFGS:    1 14:15:31     -476.217987        0.345019
BFGS:    2 14:15:31     -476.307404        0.139951
BFGS:    3 14:15:32     -476.309998        0.130058
BFGS:    4 14:15:32     -476.332642        0.070102
BFGS:    5 14:15:32     -476.334106        0.067340
BFGS:    6 14:15:33     -476.337463        0.066383
BFGS:    7 14:15:33     -476.340607        0.063566
BFGS:    8 14:15:33     -476.343170        0.054060
BFGS:    9 14:15:33     -476.344177        0.037360
BFGS:   10 14:15:33     -476.344696        0.032522
BFGS:   11 14:15:33     -476.345367        0.034015
BFGS:   12 14:15:34     -476.346466        0.025025
BFGS:   13 14:15:34     -476.347137        0.022345
BFGS:   14 14:15:34     -476.348022        0.023050
BFGS:   15 14:15:34     -476.347717        0.021773
BFGS:   16 14:15:34     -476.348694        0.022629
BFGS:   17 14:15:35     -476.349274        0.020254
BFGS:   18 14:15:35     -476.349854        0.018996
BFGS:   19 14:15:35     -476.350098        0.018775
BFGS:   20 14:15:35     -476.350281        0.018637
BFGS:   21 14:15:35     -476.350464        0.018522
BFGS:   22 14:15:35     -476.350677        0.018362
BFGS:   23 14:15:36     -476.351044        0.018194
BFGS:   24 14:15:36     -476.351318        0.018102
BFGS:   25 14:15:36     -476.351471        0.018092
BFGS:   26 14:15:36     -476.351562        0.018083
BFGS:   27 14:15:36     -476.351746        0.018016
BFGS:   28 14:15:36     -476.352081        0.017806
BFGS:   29 14:15:37     -476.351776        0.017692
BFGS:   30 14:15:37     -476.352020        0.017093
BFGS:   31 14:15:37     -476.352783        0.016873
BFGS:   32 14:15:37     -476.352966        0.016657
BFGS:   33 14:15:38     -476.353394        0.016303
BFGS:   34 14:15:38     -476.353638        0.018858
BFGS:   35 14:15:38     -476.354523        0.024885
BFGS:   36 14:15:38     -476.354919        0.026833
BFGS:   37 14:15:38     -476.355194        0.021829
BFGS:   38 14:15:39     -476.355621        0.021529
BFGS:   39 14:15:39     -476.356323        0.025533
BFGS:   40 14:15:39     -476.357269        0.031806
BFGS:   41 14:15:39     -476.357422        0.043616
BFGS:   42 14:15:39     -476.358521        0.040511
BFGS:   43 14:15:40     -476.358978        0.029495
BFGS:   44 14:15:40     -476.359558        0.020764
BFGS:   45 14:15:40     -476.360901        0.026504
BFGS:   46 14:15:40     -476.362061        0.053442
BFGS:   47 14:15:40     -476.362854        0.057918
BFGS:   48 14:15:41     -476.363312        0.046852
BFGS:   49 14:15:41     -476.363983        0.026064
BFGS:   50 14:15:41     -476.365021        0.022273
BFGS:   51 14:15:41     -476.365906        0.042422
BFGS:   52 14:15:42     -476.366974        0.052780
BFGS:   53 14:15:42     -476.367615        0.042833
BFGS:   54 14:15:42     -476.367737        0.029007
BFGS:   55 14:15:42     -476.368500        0.021690
BFGS:   56 14:15:42     -476.369110        0.028103
BFGS:   57 14:15:43     -476.369598        0.036745
BFGS:   58 14:15:43     -476.369873        0.029193
BFGS:   59 14:15:43     -476.370087        0.016928
BFGS:   60 14:15:43     -476.370392        0.020428
BFGS:   61 14:15:43     -476.370880        0.022409
BFGS:   62 14:15:44     -476.371033        0.029708
BFGS:   63 14:15:44     -476.371582        0.021877
BFGS:   64 14:15:44     -476.371094        0.011475
BFGS:   65 14:15:44     -476.371674        0.010860
BFGS:   66 14:15:45     -476.372101        0.014160
BFGS:   67 14:15:45     -476.372009        0.019253
BFGS:   68 14:15:45     -476.371918        0.012441
BFGS:   69 14:15:45     -476.372650        0.010002
BFGS:   70 14:15:45     -476.372681        0.009846
