      Step     Time          Energy          fmax
BFGS:    0 15:52:09     -373.085473        0.185815
BFGS:    1 15:52:10     -373.094453        0.183993
BFGS:    2 15:52:11     -373.111885        0.176330
BFGS:    3 15:52:11     -373.113770        0.174615
BFGS:    4 15:52:12     -373.138231        0.145823
BFGS:    5 15:52:13     -373.153071        0.150397
BFGS:    6 15:52:14     -373.167606        0.141786
BFGS:    7 15:52:14     -373.178936        0.147826
BFGS:    8 15:52:15     -373.194512        0.141742
BFGS:    9 15:52:16     -373.209979        0.143635
BFGS:   10 15:52:17     -373.219727        0.105508
BFGS:   11 15:52:17     -373.223102        0.063899
BFGS:   12 15:52:18     -373.224459        0.045145
BFGS:   13 15:52:19     -373.225467        0.038101
BFGS:   14 15:52:20     -373.226095        0.023408
BFGS:   15 15:52:20     -373.226382        0.022587
BFGS:   16 15:52:21     -373.226539        0.017372
BFGS:   17 15:52:22     -373.226657        0.011463
BFGS:   18 15:52:23     -373.226717        0.006449
