      Step     Time          Energy          fmax
BFGS:    0 15:58:02     -373.050006        0.185841
BFGS:    1 15:58:03     -373.059284        0.182681
BFGS:    2 15:58:04     -373.077013        0.174866
BFGS:    3 15:58:04     -373.078755        0.173237
BFGS:    4 15:58:05     -373.102277        0.144160
BFGS:    5 15:58:06     -373.114810        0.124044
BFGS:    6 15:58:07     -373.128463        0.154734
BFGS:    7 15:58:08     -373.141044        0.199491
BFGS:    8 15:58:08     -373.158806        0.211652
BFGS:    9 15:58:09     -373.174321        0.161348
BFGS:   10 15:58:10     -373.182346        0.085144
BFGS:   11 15:58:10     -373.184751        0.056822
BFGS:   12 15:58:11     -373.185778        0.031766
BFGS:   13 15:58:12     -373.186480        0.026874
BFGS:   14 15:58:13     -373.186823        0.018957
BFGS:   15 15:58:13     -373.186979        0.016883
BFGS:   16 15:58:14     -373.187092        0.012973
BFGS:   17 15:58:15     -373.187180        0.006907
